ID;Datum Mitwirkungsbericht;Name;Direktion;Dienststelle;Dienststelle Kurzbezeichnung;Beschreibung;Quartier;Start Mitwirkung;Ende Mitwirkung;Anzahl Eingaben;Mitwirkungsbericht URL;Bild URL;Bild;Standort
1000006;2022-06-01;Erweiterung Primarschule und Tagesbetreuung Rotmonten;Direktion Planung und Bau;Hochbauamt;HBA;Aktuell herrschen im Schulhaus Rotmonten enge räumliche Verhältnisse. Die Stadt St.Gallen plant kurzfristig diese Situation durch einen Holzmodulbau zu verbessern. Der Mitwirkungsbericht enthält die Resultate der im Frühling 2022 durchgeführten Partizipation zur Standortauswahl.;Rotmonten;2022-02-28;2022-04-30;51.0;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/Mitwirkungsbericht%20Primarschule%20Rotmonten.pdf;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/Primarschule%20Rotmonten.png;https://daten.stadt.sg.ch/api/v2/catalog/datasets/mitwirkungen-stadt-st-gallen/files/6ca887cd9dd234a5b85257c08adb46ab;47.436886553203564,9.376253577092031
1000008;2022-06-24;Schönaustrasse;Direktion Planung und Bau;Tiefbauamt;TBA;Auf Grund des schlechten baulichen Strassenzustands muss die Schönaustrasse im Abschnitt Sömmerliwaldstrasse bis Isenringweg instandgesetzt werden. Mit der Instandstellung besteht die Möglichkeit den Strassenabschnitt aufzuwerten.;Lachen;2022-03-21;2022-04-19;7.0;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/Mitwirkungsbericht%20Sch%C3%B6naustrasse%2017.184.pdf;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/Sch%C3%B6naustrasse.png;https://daten.stadt.sg.ch/api/v2/catalog/datasets/mitwirkungen-stadt-st-gallen/files/f75fbbfd95b6ae2e7aa30cc155ecfa8c;47.41983560544417,9.35104076871707
1000012;2022-08-25;Bachoffenlegung Burgweierbach Burgweierareal;Direktion Planung und Bau;Tiefbauamt;TBA;"Die Stadt St. Gallen hat das einst private Areal Burgweier im Jahr 2020 erworben und in
einem ersten Schritt mittels neuen Weganlagen für die Öffentlichkeit zugänglich gestaltet.
In einem weiteren Schritt soll nun der heute eingedolte Burgweierbach zwischen dem
Dammfuss vom Unterer Burgweier und dem Burgweiherweg offengelegt werden.";Bruggen;2022-07-14;2022-08-05;0.0;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/Mitwirkungsbericht%20Burgweiherbach%20Offenlegung%20Burgweiherareal%2025.8.2022.pdf;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/Burgweierareal.png;https://daten.stadt.sg.ch/api/v2/catalog/datasets/mitwirkungen-stadt-st-gallen/files/a5092580137eee666aa43bd71ce46cff;47.41574752073377,9.350656651337877
1000004;2022-05-30;Lehnstrasse;Direktion Planung und Bau;Tiefbauamt;TBA;Infolge des schlechten Strassenzustands muss die Lehnstrasse im Abschnitt Gübsenweg bis Haus Nr. 48 instand gestellt werden.;Bruggen;2022-03-07;2022-04-05;10.0;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/Mitwirkungsbericht%20Lehnstrasse%2019.019.pdf;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/Lehnstrasse.png;https://daten.stadt.sg.ch/api/v2/catalog/datasets/mitwirkungen-stadt-st-gallen/files/42fbac16c9197ec24a848d4512540b02;47.40510174962498,9.327512695239557
1000013;2022-09-14;Offenlegung Grütlibach, Bruggwisen;Direktion Planung und Bau;Tiefbauamt;TBA;Das vorliegende Wasserbauprojekt sieht die Offenlegung des Grütlibachs im Gebiet Bruggwisen vor. Das Projekt startet beim Bruggwiesenweg (Höhe Flurhofstrasse 160b) und endet bei der Flurhofstrasse, wo ein Geschiebefang erstellt werden soll. Das Ziel dieser Bachoffenlegung ist es, die natürlichen Funktionen des Grütlibachs (Ökologie) auf dem erwähnten Abschnitt wiederherzustellen, einen hochwassersicheren Abfluss zu gewährleisten und den Raum für das Gewässer sowie den Zugang für den Gewässerunterhalt sicherzustellen.;St.Fiden;2022-07-04;2022-08-12;0.0;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/Mitwirkungsbericht%20Offenlegung%20Gr%C3%BCtlibach%20Bruggwisen.pdf;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/Grütlibach.png;https://daten.stadt.sg.ch/api/v2/catalog/datasets/mitwirkungen-stadt-st-gallen/files/0ac82fdfc5f0b86c73965fe048b32edf;47.43234215832434,9.405450227197615
1000016;2022-10-21;Güterbahnhofstrasse;Direktion Planung und Bau;Tiefbauamt;TBA;Bei der Güterbahnhofstrasse handelt es sich um eine Gemeindestrasse 2. Klasse, welche ab der Geltenwilenstrasse die dortigen Gebäude erschliesst. Die klassierte Fläche stimmt nicht mit der tatsächlich nutzbaren Strasse überein und der Verlauf soll daher entsprechend rechtlich angepasst werden. Der Strassenverlauf ist aus beiliegendem Teilstrassenplan ersichtlich. Baulich werden bei der bestehenden asphaltierten Strasse keine Veränderungen vorgenommen.;Riethüsli;2022-08-26;2022-09-26;0.0;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/Mitwirkungsbericht%20Güterbahnhofstrasse.pdf;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/Güterbahnhofstrasse.jpg;https://daten.stadt.sg.ch/api/v2/catalog/datasets/mitwirkungen-stadt-st-gallen/files/08c8ca2491acba339a5b5405837dbe5d;47.41855886007068,9.3647514107402
1000002;2022-05-05;Georgshof;Direktion Planung und Bau;Tiefbauamt;TBA;Auf dem Grundstück C4516 soll das bestehende Wohngebäude durch einen Neubau eines Einfamilienhauses ersetzt werden. Abklärungen der Bauherrschaft haben ergeben, dass das Grundstück infolge fehlender Zufahrt nicht hinreichend erschlossen ist. Die Erschliessung soll durch eine neue Zufahrtsstrasse ab der Weiherweid- resp. Folchartstrasse gewährleistet werden. Diese führt über die angrenzenden Grundstücke C1697 und C4312 und betrifft baulich auch das Grundstück C3918.;St.Georgen;2022-03-16;2022-04-14;10.0;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/Mitwirkungsbericht%20Georgshof%2021.126%20.pdf;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/Georgshof.png;https://daten.stadt.sg.ch/api/v2/catalog/datasets/mitwirkungen-stadt-st-gallen/files/e6323894693d255019dddbae1a290112;47.417233798779534,9.378830838709762
1000003;2022-05-18;Müller-Friedberg-Strasse;Direktion Planung und Bau;Tiefbauamt;TBA;Infolge des als kritisch beurteilten Strassenzustandes muss die Müller-Friedberg-Strasse im Abschnitt Zwinglistrasse bis zum Haus Nr. 15 in den nächsten Jahren instand gestellt werden.;St.Jakob;2022-03-07;2022-04-05;10.0;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/Mitwirkungsbericht%20M%C3%BCller-Friedberg-Strasse%2019.146%20St.pdf;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/M%C3%BCller-Friedberg-Strasse.png;https://daten.stadt.sg.ch/api/v2/catalog/datasets/mitwirkungen-stadt-st-gallen/files/db26a2e738eb313999169a7112ad4e8d;47.42827866195342,9.37489547068969
1000007;2022-06-22;Axensteinstrasse;Direktion Planung und Bau;Tiefbauamt;TBA;Auf Grund des schlechten baulichen Strassenzustands muss die Axensteinstrasse im Abschnitt Linsebühlstrasse bis Birtweg instandgesetzt werden.;Linsenbühl-Dreilinden;2022-04-11;2022-05-10;6.0;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/Mitwirkungsbericht%20Axensteinstrasse%2020.106.pdf;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/Axensteinstrasse.png;https://daten.stadt.sg.ch/api/v2/catalog/datasets/mitwirkungen-stadt-st-gallen/files/888bb5501f708443f3b492887f561e60;47.42543508393141,9.385693468978067
1000001;2022-04-12;Oberschachenstrasse;Direktion Planung und Bau;Tiefbauamt;TBA;Auf den Grundstücken Nr. F2409 und F4705 ist der Neubau eine Geschäftshauses geplant. Für die hinreichende Erschliessung ist vorgesehen, die bestehende Oberschachenstrasse auszubauen und neu als Gemeindestrasse 2. Klasse einzuteilen.;Neudorf;2022-02-24;2022-03-25;1.0;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/Mitwirkungsbericht%20Oberschachenstrasse%2021.112.pdf;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/Oberschachenstrasse.jpg;https://daten.stadt.sg.ch/api/v2/catalog/datasets/mitwirkungen-stadt-st-gallen/files/30bfc425dab1504c00544e335f722687;47.43842065036805,9.420662068089948
1000010;2022-07-08;Festlegung Gewässerraum Wiesenbach West;Direktion Planung und Bau;Tiefbauamt;TBA;Die beiden Gemeinden Gaiserwald und St.Gallen möchten gemeinsam den gesetzlich vorgeschriebenen Gewässerraum am Wiesenbach West festlegen.;"Winkeln;Bruggen";2022-03-14;2022-04-18;3.0;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/Mitwirkungsbericht%20Festlegung%20Gew%C3%A4sserraum%20Wiesenbach%20West.pdf;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/Wiesenbach%20West.jpg;https://daten.stadt.sg.ch/api/v2/catalog/datasets/mitwirkungen-stadt-st-gallen/files/4a585c66a0f6be8936e868b3c14ab36d;47.419432991927074,9.327988078578223
1000014;2022-09-15;Mövenstrasse;Direktion Planung und Bau;Tiefbauamt;TBA;Auf Grund des schlechten baulichen Strassenzustands plant das Tiefbauamt die Instandstellung der Mövenstrasse im Abschnitt vom Haus Nr. 4 bis zum Wendeplatz (Ostseite). Mit der Instandstellung besteht die Möglichkeit den Strassenabschnitt aufzuwerten.;Winkeln;2022-08-08;2022-09-06;0.0;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/Mitwirkungsbericht%20M%C3%B6venstrasse%2022.002.pdf;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/M%C3%B6venstrasse.png;https://daten.stadt.sg.ch/api/v2/catalog/datasets/mitwirkungen-stadt-st-gallen/files/4db7174ba22feef2028a10e649e3ca14;47.40366053274889,9.309595785385643
1000015;2022-09-27;Hardungstrasse;Direktion Planung und Bau;Tiefbauamt;TBA;Infolge des schlechten Strassenzustandes muss die Hardungstrasse im Abschnitt Speicherstrasse bis Hagenbuchstrasse instandgesetzt werden. Mit der Instandstellung besteht die Möglichkeit den Strassenabschnitt aufzuwerten. Das Ziel dieser Aufwertung ist, den Strassenraum zu gestalten, den Bedürfnissen aller Verkehrsteilnehmenden anzupassen sowie die vorhandenen Schwachstellen zu beseitigen.;Notkersegg;2022-05-02;2022-05-31;22.0;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/Mitwirkungsbericht%20Hardungstrasse%2020.051.pdf;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/Hardungstrasse.png;https://daten.stadt.sg.ch/api/v2/catalog/datasets/mitwirkungen-stadt-st-gallen/files/193fa1323bfc2a7de87d9a5fcd5a9ac0;47.426122807906786,9.404379872388876
1000005;2022-05-30;Wildeggstrasse;Direktion Planung und Bau;Tiefbauamt;TBA;Auf Grund des schlechten baulichen Strassenzustands muss die Wildeggstrasse im Abschnitt Felsenstrasse bis Speicherstrasse, inkl. Ast St.Georgen-Strasse instandgesetzt werden.;Linsenbühl-Dreilinden;2022-03-07;2022-04-05;5.0;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/Mitwirkungsbericht%20Wildeggstrasse%2019.242.pdf;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/Wildeggstrasse.png;https://daten.stadt.sg.ch/api/v2/catalog/datasets/mitwirkungen-stadt-st-gallen/files/439af5421275917c0b950d955d8534f7;47.42380569939693,9.384040389403228
1000009;2022-07-01;ASGO Nutzungsvision 1.0;Direktion Inneres und Finanzen;Standortförderung;SF;Die Entwicklungsplanung 2021-2023 des Areals St.Gallen West – Gossau Ost (ASGO) hat zum Ziel, Rahmenbedingungen zu entwickeln, die den Lebensraum und Arbeitsort langfristig stärken und eine zukunftsorientierte Wohn- und Wirtschaftsentwicklung ermöglichen. Dafür wurde im 2021 die Nutzungsvision 1.0  erarbeitet, welche vom 2. Dezember 2021 bis 31. Januar 2022 vernehmlasst wurde. Die Rückmeldungen dazu wurden in die Nutzungsvision 2.0 aufgenommen.;"Winkeln;gemeindeübergreifend";2021-12-02;2022-01-31;19.0;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/ASGO-Entwicklungsplanung-2021-2023_Nutzungsvision_2.0.pdf;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/ASGO%20Nutzungsvision.png;https://daten.stadt.sg.ch/api/v2/catalog/datasets/mitwirkungen-stadt-st-gallen/files/04d4efb6c67ada8003f5a0660effe119;47.40516447860777,9.299811741918615
1000011;2022-07-28;Hügelstrasse;Direktion Planung und Bau;Tiefbauamt;TBA;Das Tiefbauamt beabsichtigt die Hügelstrasse im Abschnitt Speicherweg bis Steingrüeblistrasse instand zu stellen und ist nun daran, ein entsprechendes Strassenprojekt auszuarbeiten. Im gesamten Projektperimeter nimmt das Projekt rücksichtig auf die geplante Begegnungszone. Vorbehältlich der politischen Genehmigung und Rechtskraft wird eine Ausführung im Jahre 2023 angestrebt.;Linsenbühl-Dreilinden;2022-06-13;2022-07-12;1.0;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/Mitwirkungsbericht%20H%C3%BCgelstrasse%2022.012.pdf;https://www2.stadt.sg.ch/od/Open-Data-Files/Partizipation/H%C3%Bcgelstrasse.png;https://daten.stadt.sg.ch/api/v2/catalog/datasets/mitwirkungen-stadt-st-gallen/files/cc923086b991c888b6ce791c97a1d626;47.42606863802256,9.3863238364281
